ï»¿Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Sri Lanka,LKA,62.43984222,62.79806137,63.16996384,63.5634079,63.9890976,64.45137024,64.95524597,65.48864746,66.01667023,66.49153137,66.87762451,67.16042328,67.34815216,67.45654297,67.51101685,67.53042603,67.52175903,67.4810257,67.40344238,67.28097534,67.11086273,66.89222717,66.63626862,66.35057453
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,St. Lucia,LCA,55.98928833,56.26324463,56.49456787,56.72321701,56.99701309,57.34357834,57.76708221,58.2566185,58.82037735,59.46102905,60.18069458,60.98707962,61.86484528,62.75793457,63.5849762,64.29111481,64.85345459,65.28924561,65.63560486,65.95091248,66.271698,66.60865021,66.95140076,67.27710632
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,St. Vincent and the Grenadines,VCT,55.8548584,56.33840561,56.93188095,57.60011673,58.27483749,58.91122818,59.49591827,60.04574203,60.57003784,61.0915947,61.62451172,62.16281128,62.69902802,63.23313522,63.76725006,64.29668427,64.82352448,65.34733582,65.85774994,66.3301239,66.75601196,67.13424683,67.46180725,67.73609575
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Sudan,SDN,51.59910583,51.81726074,52.02681351,52.22363663,52.40660477,52.57710648,52.74004364,52.89735413,53.04514694,53.17687225,53.28914642,53.38000107,53.45627594,53.53310013,53.6292305,53.75684738,53.9192009,54.11153793,54.32809067,54.56077576,54.80430603,55.05688858,55.32047653,55.57519213
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Suriname,SUR,61.95115662,62.13730621,62.25149155,62.33296967,62.42650604,62.5635643,62.75926208,63.00184631,63.25960541,63.49119568,63.66646194,63.78224182,63.85453796,63.90390015,63.95902634,64.03949738,64.14726257,64.27777863,64.44355011,64.65522003,64.91885376,65.23602295,65.59646606,65.98049978
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Swaziland,SWZ,49.2114563,49.25004196,49.24241257,49.2528801,49.36418533,49.62602234,50.05322647,50.61077118,51.239048,51.86600113,52.44797897,52.97382355,53.4641571,53.94524765,54.45294571,55.0045166,55.5982399,56.21083069,56.80791473,57.35193253,57.81864548,58.20672226,58.5254097,58.69297983
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Sweden,SWE,64.28300476,64.14147949,63.98394012,63.83585739,63.72903442,63.6849823,63.70988083,63.79633713,63.93471909,64.10900879,64.30443573,64.5138092,64.73192596,64.94675446,65.14489746,65.31317139,65.45533752,65.56303406,65.59877777,65.51643372,65.28957367,64.902565,64.3801651,63.75908529
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Switzerland,CHE,68.4021225,68.29110718,68.15091705,67.99452972,67.8354187,67.68423462,67.54193878,67.41207886,67.31054688,67.25632477,67.26117706,67.33085632,67.45570374,67.61244965,67.76895905,67.90058136,68.00157166,68.07309723,68.1071167,68.09666443,68.03807068,67.92646027,67.76459503,67.51975437
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Syrian Arab Republic,SYR,50.05551529,50.5655899,51.14639282,51.77165604,52.40858078,53.03318405,53.64403152,54.24174881,54.81212234,55.34262848,55.83019257,56.26287079,56.65156555,57.03795624,57.47048569,57.96931839,58.54819107,59.16948318,59.75385666,60.22034073,60.53612518,60.68287659,60.70372772,60.84635987
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Tajikistan,TJK,52.53392029,52.31776047,52.1071167,51.93301392,51.83322144,51.83599472,51.94163513,52.14847183,52.47663498,52.94686508,53.56441116,54.32577896,55.20026398,56.13117218,57.04979706,57.90502167,58.68390274,59.38332367,59.97943497,60.44954681,60.78207397,60.97771454,61.04970932,60.92961919
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Tanzania,TZA,51.29187775,51.40439606,51.52830505,51.65693283,51.7829361,51.90135956,52.0112648,52.11244202,52.20227432,52.27775955,52.33667374,52.38029861,52.40903473,52.41953278,52.40792465,52.3735199,52.31844711,52.24900055,52.17392731,52.10337067,52.04532242,52.00239563,51.97664261,51.94738909
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Thailand,THA,65.28275299,65.78315735,66.17066193,66.4937973,66.81720734,67.18307495,67.60939789,68.07581329,68.54006958,68.94428253,69.25283051,69.44894409,69.5569458,69.63162231,69.74694824,69.95140839,70.2637558,70.65979767,71.09168243,71.48872375,71.79833984,72.0037384,72.11873627,72.14197709
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Timor-Leste,TMP,58.37019348,58.15709305,57.80395889,57.26834869,56.49419785,55.44790649,54.05236053,52.33172989,50.49474335,48.90324402,47.86295319,47.52138519,47.76059341,48.32665253,48.89620972,49.27637863,49.42687225,49.42850494,49.37395477,49.39808655,49.5858078,49.95681,50.45238113,50.93633124
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Togo,TGO,50.79237366,50.85456467,50.91534805,50.99668884,51.1261673,51.31923294,51.57720184,51.88596725,52.22710419,52.57700348,52.91839218,53.24776077,53.56521606,53.86348724,54.1356926,54.37762833,54.59005737,54.77549744,54.93534851,55.07155609,55.18769836,55.28459549,55.36802292,55.39715376
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Tonga,TON,56.11937332,55.98871231,55.74426651,55.45207214,55.21251297,55.10382843,55.14560699,55.31509399,55.55257797,55.77228928,55.913517,55.95914841,55.93593216,55.87565613,55.84286118,55.86965179,55.97095108,56.13604736,56.32801437,56.51283646,56.66199112,56.76205444,56.8243103,56.9201409
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Trinidad and Tobago,TTO,60.65165329,60.96717834,61.36004639,61.8466568,62.44621277,63.16751862,64.01592255,64.97032928,65.97932434,66.97199249,67.89066315,68.71529388,69.44368744,70.06016541,70.55384827,70.91977692,71.15148926,71.25202179,71.24035645,71.14390564,70.9852066,70.77246857,70.51125336,70.1970919
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Tunisia,TUN,57.65736771,58.11848068,58.63702774,59.20747757,59.82201767,60.47428894,61.1632576,61.88581848,62.63082886,63.38338852,64.12998962,64.8616333,65.57259369,66.25540924,66.90264893,67.50624084,68.06365967,68.56678009,68.99681854,69.33203888,69.55953979,69.67781067,69.69670868,69.61681951
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Turkey,TUR,59.20241928,59.67626572,60.16197586,60.64638519,61.11280441,61.54992294,61.95317078,62.32636261,62.67709351,63.01651001,63.35230637,63.68616867,64.01511383,64.33655548,64.64658356,64.94271851,65.22331238,65.48986816,65.74642944,65.99821472,66.24783325,66.49637604,66.74002838,66.96769302
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Turkmenistan,TKM,55.73876953,55.74705505,55.7674942,55.84144211,56.01746368,56.32450867,56.77633667,57.35546875,58.02116013,58.71612167,59.39933777,60.04956055,60.67818069,61.31341171,61.99644089,62.74840164,63.57845688,64.45535278,65.31156158,66.06108093,66.64768982,67.05166626,67.29890442,67.43500853
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Uganda,UGA,49.36653137,49.22226334,49.06187057,48.89426041,48.7300148,48.57695389,48.43696976,48.31085205,48.2032547,48.11905289,48.06134415,48.0317421,48.02914429,48.05049896,48.0916748,48.14990234,48.22464752,48.31652069,48.42545319,48.55154037,48.69468689,48.85401535,49.02890778,49.18483725
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Ukraine,UKR,66.41418457,66.27573395,66.12828827,66.02445984,66.03399658,66.20278931,66.56246948,67.08930206,67.70445251,68.2904892,68.75888824,69.07132721,69.24996948,69.33840942,69.40995789,69.51847076,69.67097473,69.84354401,70.02321625,70.18838501,70.32009888,70.42990875,70.51676178,70.47642395
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,United Arab Emirates,ARE,67.98474121,68.82807159,69.8285141,70.8264389,71.6456604,72.2042923,72.53681946,72.74752808,72.92832947,73.18671417,73.6108017,74.08493042,74.6367569,75.56939697,77.12306213,79.13510895,81.31432343,83.25439453,84.67702484,85.5032959,85.80554962,85.67559052,85.23086548,84.28855412
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,United Kingdom,GBR,65.27122498,65.12255859,64.97532654,64.8462677,64.7535553,64.70987701,64.72031403,64.78223419,64.88964844,65.03221893,65.19953156,65.38994598,65.59719849,65.80023956,65.97296906,66.09565735,66.16413879,66.17948151,66.13526917,66.02600098,65.85076141,65.60522461,65.29773712,64.91740048
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,United States,USA,65.8479538,65.73348236,65.63575745,65.5668869,65.54026794,65.56389618,65.63975525,65.76181793,65.91934967,66.09792328,66.28553772,66.47878265,66.67392731,66.85845184,67.01759338,67.13986206,67.22116089,67.26051331,67.25428772,67.1997757,67.09609985,66.94132996,66.73801422,66.49142132
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Uruguay,URY,62.35591125,62.40759659,62.46276474,62.51167679,62.54236221,62.5476265,62.52390671,62.47721863,62.42204285,62.37804031,62.35977554,62.36932373,62.40435791,62.46794891,62.56249619,62.68814468,62.84644699,63.03328323,63.23524857,63.43507767,63.61955643,63.78371429,63.9278717,64.03279424
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Uzbekistan,UZB,54.9676857,54.9943428,55.0487175,55.15736008,55.35070419,55.64716339,56.05403137,56.56020355,57.14308548,57.77236938,58.42702866,59.0975647,59.78788376,60.50445557,61.25580597,62.04091263,62.8547554,63.67716599,64.47343445,65.20289612,65.83785248,66.37342834,66.8155899,67.12150942
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Vanuatu,VUT,52.57138443,52.75403214,52.9875946,53.25190353,53.52021027,53.78516006,54.03778839,54.28675842,54.54979324,54.84212494,55.17837524,55.56171799,55.97937775,56.38948059,56.7477417,57.02782059,57.21766281,57.33928299,57.44682693,57.60311508,57.85170364,58.20794296,58.64548492,58.9963721
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Venezuela, RB",VEN,58.25482941,58.49982452,58.79193497,59.11980057,59.46702957,59.82197189,60.18016815,60.5439949,60.91663742,61.30305099,61.70449448,62.12073135,62.54397583,62.95942688,63.34881592,63.69976807,64.00920105,64.28050995,64.51644135,64.72185516,64.90106201,65.05458832,65.18350983,65.28488689
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Vietnam,VNM,56.88251114,57.1404953,57.39305496,57.67394257,58.02556229,58.4757309,59.03125381,59.68026352,60.40739822,61.18881989,62.00426483,62.84326172,63.70170212,64.5714798,65.44499969,66.31187439,67.17063141,68.0062561,68.78006744,69.44481659,69.9694519,70.34233093,70.57751465,70.71694788
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Virgin Islands (U.S.),VIR,65.12643433,65.42229462,65.47123718,65.3633194,65.2149353,65.12175751,65.09215546,65.09879303,65.16518402,65.30236053,65.51040649,65.80715179,66.17937469,66.55889893,66.86691284,67.0291748,67.03363037,66.89383698,66.60392761,66.17478943,65.62388611,64.94020844,64.14025879,63.26915322
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,West Bank and Gaza,WBG,49.79453278,49.80285645,49.76674271,49.71452713,49.67861176,49.67959213,49.72607803,49.81302643,49.93083572,50.06792068,50.22130966,50.38537216,50.57329559,50.82148361,51.17316818,51.65026474,52.25508118,52.95926666,53.71464539,54.46292496,55.16481781,55.80994034,56.40467453,56.93758747
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Yemen, Rep.",YEM,45.28674316,45.33187103,45.48143768,45.71020508,45.99082184,46.3082695,46.66163254,47.05714417,47.49786377,47.98574829,48.51874924,49.08801651,49.68738174,50.31806183,50.98363495,51.68363953,52.41895294,53.17790222,53.93396378,54.65485764,55.31954193,55.92070007,56.46676636,56.94561412
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Zambia,ZMB,51.30598068,51.41889191,51.51623154,51.59659195,51.65851212,51.70012665,51.72616577,51.73532104,51.7146225,51.64834213,51.52982712,51.35816193,51.14766693,50.92500305,50.72309113,50.56497574,50.45537186,50.38930893,50.36612701,50.38240433,50.4344368,50.52121353,50.63978577,50.76406734
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Zimbabwe,ZWE,50.92858124,51.23667526,51.51340866,51.78644562,52.09123993,52.44697189,52.86224747,53.31678391,53.76770782,54.16067886,54.46097565,54.66880417,54.80168152,54.86617661,54.87379074,54.83931732,54.75001144,54.62009811,54.52389526,54.55839539,54.78351974,55.22010422,55.81901932,56.67358651
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Arab World,ARB,53.70590377,53.98690584,54.23154284,54.61101902,55.01609206,55.53377342,55.96768033,56.4167823,56.88330955,57.36741188,57.86735798,58.37677989,58.88912715,59.40100522,59.91268462,60.41938309,60.92131397,61.40988331,61.86379647,62.2590463,62.58196131,62.83048058,63.01437174,63.13226761
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Caribbean small states,CSS,59.26678561,59.5238691,59.75026981,59.96641629,60.19938296,60.46764354,60.77489943,61.11770552,61.48329727,61.85543124,62.21983435,62.57432569,62.92422957,63.26145618,63.58009329,63.87683601,64.14507855,64.38719692,64.62084193,64.86911146,65.14587503,65.4587016,65.79616371,66.10309404
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,East Asia & Pacific (all income levels),EAS,63.99624532,64.14200888,64.24331503,64.33555413,64.46270421,64.65460454,64.9156155,65.23784646,65.62460745,66.07580314,66.58730473,67.16096998,67.78331127,68.41451462,69.0046872,69.516417,69.93717404,70.27056836,70.51646911,70.67989859,70.76632728,70.77532712,70.71301889,70.58260561
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,East Asia & Pacific (developing only),EAP,63.33647684,63.48240192,63.58884169,63.693436,63.84201745,64.06603098,64.36986892,64.74608862,65.19674126,65.72071893,66.31207236,66.9729859,67.68878403,68.41468912,69.09394973,69.68537859,70.17451775,70.56587271,70.86124985,71.06844618,71.19477339,71.24187058,71.2120143,71.10980554
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Euro area,EMU,67.50337502,67.48525222,67.45747319,67.42641816,67.39526357,67.36679074,67.34658484,67.33532882,67.32461367,67.30194689,67.25892409,67.19245082,67.10641156,67.00779838,66.90662374,66.80979555,66.72121786,66.63603703,66.54079316,66.41847764,66.25849866,66.05748679,65.82075089,65.5602381
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Europe & Central Asia (all income levels),ECS,65.64432342,65.61261543,65.58982965,65.59182514,65.63494643,65.7304558,65.88557195,66.09519618,66.33804338,66.58436084,66.80829113,67.00260918,67.17019747,67.31689008,67.45297559,67.5855463,67.71646863,67.83634909,67.92851902,67.97122209,67.9451952,67.85967139,67.7080768,67.47679151
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Europe & Central Asia (developing only),ECA,62.69691888,62.73369615,62.79537743,62.89555691,63.04173037,63.24012686,63.49686834,63.8092191,64.16251582,64.53516311,64.90307767,65.25589213,65.59778197,65.93639338,66.27210901,66.60571773,66.93506006,67.24812829,67.53673098,67.78729385,67.96780374,68.12482445,68.21982006,68.22481428
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,European Union,EUU,66.79944298,66.79652883,66.80604388,66.82779878,66.85616233,66.88930886,66.92921626,66.97879072,67.0335578,67.08869866,67.13854968,67.18159657,67.21609236,67.24149917,67.25576072,67.25713043,67.2473715,67.22130107,67.16756932,67.07112214,66.9206719,66.71493844,66.45645368,66.14585274
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Heavily indebted poor countries (HIPC),HPC,51.07927185,51.12732088,51.19902771,51.28074954,51.35608794,51.41532846,51.45676357,51.48618126,51.51105028,51.5412041,51.58336224,51.63958856,51.70838637,51.78840243,51.87739801,51.97451873,52.07908592,52.19346312,52.32306968,52.47442575,52.65114762,52.85350586,53.07807571,53.27411435
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,High income,HIC,66.80473445,66.78135861,66.75153523,66.7235493,66.71884789,66.75466489,66.8267308,66.93254629,67.05920642,67.18844441,67.30633353,67.40745356,67.4923918,67.56351115,67.62737761,67.6862609,67.74311732,67.79076327,67.81124426,67.77953562,67.68258292,67.51348406,67.28131022,66.98598427
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,High income: OECD,OEC,67.04714491,67.04044223,67.01993201,66.99552639,66.97881987,66.97768799,66.99513283,67.02887943,67.07322489,67.11997441,67.16258522,67.19930229,67.22876751,67.24866686,67.25612378,67.24836513,67.22704006,67.18821413,67.12127654,67.01055982,66.8476117,66.62902614,66.36082915,66.0470907
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,High income: nonOECD,NOC,65.70695748,65.60468013,65.51686514,65.46918409,65.51634682,65.72773797,66.04950683,66.48632728,66.99407208,67.50790373,67.98019894,68.38647441,68.73567092,69.05319065,69.38794062,69.76473807,70.19241053,70.64487911,71.07003109,71.39985989,71.59358188,71.64127741,71.55687472,71.33511429
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Latin America & Caribbean (all income levels),LCN,58.87684097,59.20368834,59.5374264,59.87666047,60.21951263,60.56411929,60.91054758,61.25737736,61.60079743,61.93368602,62.25360066,62.55882609,62.85118223,63.13508197,63.41657536,63.69960505,63.98391437,64.26722689,64.54851356,64.82609299,65.09787018,65.36325487,65.62009831,65.86187355
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Latin America & Caribbean (developing only),LAC,58.64253588,58.98435659,59.33462292,59.69062314,60.04894756,60.40665436,60.76353022,61.11851044,61.46702225,61.80381056,62.12574145,62.43111546,62.72198003,63.00343104,63.28235871,63.56337113,63.84637078,64.12916593,64.41121848,64.69138745,64.96789184,65.24036668,65.50638654,65.75959027
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Least developed countries: UN classification,LDC,52.19678929,52.30975571,52.44629365,52.60023291,52.7641659,52.93293964,53.10571814,53.28283228,53.46225113,53.64186024,53.8202645,53.99754367,54.17437235,54.35098641,54.52793207,54.70640382,54.88511987,55.06574692,55.25493297,55.46068896,55.68742901,55.93555925,56.20122883,56.44466866
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Low & middle income,LMY,59.21871521,59.37351389,59.52945946,59.70006709,59.90022579,60.13927327,60.41805194,60.73280497,61.08114395,61.45907871,61.8608473,62.28538923,62.72718367,63.16754527,63.58316704,63.95776402,64.28500085,64.56662333,64.80578413,65.0077578,65.17635299,65.31271431,65.41763795,65.47569745
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Low income,LIC,52.93177229,53.05834191,53.19997641,53.35499083,53.52148439,53.69759956,53.88323981,54.07676487,54.27329004,54.46693143,54.65381055,54.83405369,55.00927981,55.17950598,55.34516469,55.50758689,55.66546351,55.82129129,55.98410525,56.16486293,56.36993675,56.6003611,56.85112864,57.08785554
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Lower middle income,LMC,57.31504156,57.49730379,57.69808348,57.92033069,58.1664796,58.43823712,58.73689795,59.05886797,59.39505215,59.73333191,60.06395946,60.38375101,60.69633904,61.00218713,61.30310653,61.60016637,61.89206675,62.17660484,62.45305241,62.72086455,62.981296,63.22748064,63.46389924,63.66329472
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Middle East & North Africa (all income levels),MEA,53.54015381,53.84474839,54.14386447,54.59647225,55.11207526,55.76766032,56.38592454,57.0475025,57.75246312,58.50013099,59.28461451,60.10126543,60.93323801,61.75024904,62.51766836,63.2088532,63.81745632,64.34538259,64.78725121,65.14077717,65.40863485,65.59186887,65.69753791,65.7337123
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Middle East & North Africa (developing only),MNA,53.04122337,53.33399423,53.70523341,54.15290388,54.67528386,55.26812756,55.92350015,56.63245834,57.38866763,58.18346106,59.00612516,59.8553563,60.7155487,61.54655418,62.30155927,62.94677581,63.47174684,63.88587582,64.20142331,64.43915341,64.61586602,64.73610587,64.80080314,64.8102469
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Middle income,MIC,60.07235087,60.23888478,60.40567205,60.58778945,60.80210853,61.05940787,61.36059508,61.70175994,62.08127492,62.49585259,62.93978685,63.41224823,63.90639029,64.40065509,64.86784811,65.28870104,65.65593563,65.97120228,66.23644664,66.45598005,66.63271756,66.76917539,66.8653449,66.9086493
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,North America,NAC,66.06987086,65.9551627,65.8554336,65.78342837,65.75313545,65.77288194,65.84547446,65.96432813,66.11886054,66.29517242,66.48160149,66.67475459,66.87024262,67.05626582,67.21812774,67.34456718,67.43140114,67.47777251,67.47797666,67.42682868,67.32156112,67.1596466,66.94483779,66.67980468
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,OECD members,OED,65.84800525,65.90237376,65.9439753,65.97957266,66.01769962,66.06452405,66.12194193,66.18868103,66.26138107,66.33586044,66.4082069,66.47779353,66.54280726,66.60079309,66.64855525,66.6831503,66.70568518,66.7131407,66.69753145,66.64650736,66.55387095,66.41758386,66.24145744,66.02742208
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Other small states,OSS,54.27691268,54.39539971,54.50062146,54.59978028,54.71068874,54.83653664,54.98368112,55.15085242,55.33972515,55.55971595,55.80825548,56.08950037,56.39734954,56.72308594,57.05429158,57.38914401,57.71596051,58.03240518,58.33953055,58.63281131,58.91352022,59.16074983,59.40755648,59.58816323
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Pacific island small states,PSS,55.83933225,56.05314701,56.28972347,56.53311249,56.7680224,56.9859667,57.17760752,57.35152483,57.53414564,57.76204034,58.05725291,58.4281903,58.85821271,59.30723165,59.72194594,60.06567809,60.32719157,60.52025878,60.65966996,60.77150994,60.87354217,60.96922305,61.055498,61.09664972
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Small states,SST,55.80928106,55.95675398,56.08990725,56.21795377,56.35789034,56.5162914,56.69842505,56.90044637,57.12315879,57.37042252,57.63972436,57.93432554,58.24902498,58.57425472,58.89638394,59.21149074,59.50791584,59.78608154,60.05170813,60.30944068,60.56429162,60.80197901,61.04496684,61.23095232
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,South Asia,SAS,57.49326841,57.68243884,57.89714998,58.13568493,58.39407825,58.66918204,58.95991535,59.26629723,59.58620136,59.91783883,60.25781937,60.60438226,60.95976488,61.32004415,61.68208706,62.04368989,62.40306041,62.75934106,63.1133719,63.46649989,63.81837495,64.16860544,64.51314871,64.82982402
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Sub-Saharan Africa (all income levels),SSF,51.63149284,51.7383816,51.871754,52.01980765,52.16860535,52.30847403,52.43809657,52.55943071,52.67185612,52.77555549,52.87061943,52.95411349,53.02927078,53.09253574,53.15021877,53.20424592,53.25519994,53.30567243,53.36191062,53.43094496,53.51754351,53.62286154,53.7456316,53.83404812
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Sub-Saharan Africa (developing only),SSA,51.62691109,51.73450225,51.8685988,52.01734605,52.1667596,52.30713097,52.43713446,52.55872895,52.67129072,52.77500055,52.86995657,52.95322195,53.0280489,53.09092489,53.14821942,53.20189686,53.25255295,53.3027742,53.35880438,53.42766397,53.51411554,53.61931449,53.74199781,53.83040267
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Upper middle income,UMC,62.56903834,62.7357794,62.88793759,63.04978258,63.25037776,63.50962961,63.82834769,64.20261091,64.6387326,65.14269477,65.71301757,66.35248655,67.04526427,67.74853711,68.40603853,68.97733783,69.44880274,69.82554607,70.10978022,70.3093172,70.43174854,70.47962132,70.45402958,70.35723003
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,World,WLD,60.83377603,60.93646114,61.03826557,61.15500275,61.30052261,61.48765165,61.71322924,61.97506341,62.26881758,62.58800017,62.92525874,63.27952171,63.64580427,64.00929615,64.35258015,64.6627153,64.93504298,65.16953852,65.36515098,65.52083607,65.63757346,65.71563329,65.75640259,65.7484754
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Afghanistan,AFG,1.872605801,1.923693061,1.984820843,2.040826082,2.080537558,2.10106039,2.104135513,2.09449172,2.07703948,2.058215618,2.042945623,2.032496929,2.026176214,2.024507284,2.027600765,2.035617828,2.048165321,2.065664768,2.089844942,2.122715473,2.165029526,2.217166662,2.277222395,2.348568527
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Albania,ALB,5.019231796,5.115697384,5.253015995,5.422207355,5.607340813,5.795003891,5.977654457,6.159275532,6.349805832,6.566421986,6.821166515,7.11905098,7.453986168,7.813921452,8.18040657,8.538043976,8.883205414,9.217326164,9.534791946,9.83049202,10.10220814,10.34610367,10.56613636,10.72773173
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Algeria,DZA,3.203598976,3.218944073,3.246047258,3.285671711,3.33856082,3.404783249,3.484214306,3.575407267,3.675506115,3.780796289,3.888239145,3.996127844,4.103518009,4.208812714,4.310346603,4.406190395,4.499572277,4.589400768,4.665445328,4.715154648,4.732931614,4.713290215,4.666799545,4.597391045
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Angola,AGO,2.596468449,2.581629992,2.566483736,2.551486254,2.537026644,2.523396969,2.510411024,2.498079062,2.486956835,2.477703571,2.470683813,2.466159344,2.463595629,2.46179986,2.45927906,2.455166578,2.449766159,2.443658829,2.436831236,2.429241419,2.421213388,2.412508249,2.40399313,2.401952196
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Antigua and Barbuda,ATG,8.04283905,8.277254105,8.446574211,8.528087616,8.507888794,8.389296532,8.162858963,7.856628418,7.527693272,7.255296707,7.07938385,7.015144825,7.041109562,7.120785236,7.206490517,7.267001629,7.29390049,7.298837662,7.290067673,7.265353203,7.233500957,7.190988064,7.141654015,7.124520753
